anchor,positive
Someone attacked me.,Somebody attacked me.
I'm going to set the table.,I'll set the table.
Please eat it while it's still hot.,Eat while it's warm.
Later I'll go to the movies with my friend.,Afterwards I'm gonna watch a movie with a friend.
She isn't lonely now.,She isn't alone anymore.
We should hire him.,We should hire her.
May I have a cup of tea?,Can you give me a cup of tea?
What's that building at the back of the hospital?,What's that building behind the hospital?
What form of transport will we take?,What form of transportation did you use?
Both Tom and Mary are Republicans.,Tom and Mary are both Republicans.
My goal in life is to be a novelist.,I aim to be a writer.
She says that she teaches French.,She says she teaches French.
I don't see him often.,I don't see her often.
Everything was stolen.,Everything has been stolen.
Tom gets it.,Tom understands that.
When will Tom be released from prison?,When will Tom get out of prison?
My parrot does not like sunflower seeds.,My parrot doesn't like sunflower seeds.
I'm the gardener.,I'm a gardener.
"She seldom, if ever, goes to movies by herself.","She rarely goes, if ever, alone to the movie theater."
"Don't pull my leg, tell me the truth.","Don't try to bullshit me, tell me the truth."
This knife was very useful to me.,This knife has served me well.
I'm gonna withdraw some money real quick.,I'm going to go withdraw some money.
I have put on two kilograms this summer.,I gained two kilos this summer.
I have still to hear that story.,I haven't heard that story yet.
Most of the peasants living in this godforsaken village are illiterate.,The majority of the peasants living in this godforsaken village cannot read nor write.
Tom sent Christmas cards to all his friends.,Tom sent all his friends Christmas cards.
Tom told me you were dead.,Tom told me you'd died.
Why didn't anyone come?,Why didn't anybody come?
He did his best to help her.,She tried her best to help him.
When are you going to quit smoking?,When do you intend to quit smoking?
Why do stars twinkle?,Why do the stars twinkle?
Tom was daydreaming.,Tom had a daydream.
"Don't tell him that, please!","Don't tell her that, please!"
He is in the hospital at present.,She is in hospital now.
Tom didn't enjoy the concert very much.,Tom didn't really like the concert.
We only have three options.,We only have 3 options.
I couldn't bring myself to take the job.,I couldn't accept the job.
Tom could've been warned.,Tom could have been warned.
I'm trying to get in touch with her sister.,I'm trying to contact his sister.
Must get some food.,I need to buy some food.
Tom is doing the dishes.,Tom is rinsing the dishes.
I caught the last bus.,I was in time for the last bus.
Aren't you afraid of getting infected by the virus?,Aren't you afraid of catching a virus?
Tom works in a supermarket.,Tom works at a supermarket.
I'm no longer married.,I'm not married anymore.
May I see the timetable?,Please show me the schedule.
The mother wakes up her daughter.,The mother is waking up her daughter.
I'd just be able to give up better than if you were taken by some other woman.,I'd rather give up than have you taken by another woman
His words and actions do not go together well.,His words and deeds do not match.
I wonder if Tom will win.,I wonder whether Tom will win.
Tom did that for Mary.,Tom made this for Mary.
Tom said Mary wasn't lonely.,Tom said Mary isn't lonely.
I'm told by everybody that I am strange.,Everyone tells me that I'm strange.
The streets were covered with snow.,The streets were covered in snow.
You guessed right.,Your hypothesis is correct.
I'm still training him.,I'm still training her.
The accident happened under his nose.,That incident happened right in front of him.
Tokyo is one of the biggest cities.,Tokyo is one of the largest cities in the world.
It was boring.,That was disconcerting.
No attention was paid to his warning.,They paid no attention to his warnings.
Wait a second. My shoe is untied.,Hold on a minute. My shoelaces are untied.
"When it lightly rains like that, I wish to go for a walk in a park.","If it rains a lot, I want to take a walk in the park."
They went to an expensive restaurant for lunch.,They went out for dinner at an upscale restaurant.
It took us three hours to come to a conclusion.,We spent three hours to come to this conclusion.
The plane went out of sight in a blink.,The plane disappeared in the twinkle of an eye.
"One, three, and five are odd numbers.","And 1, 3, 5 are odd numbers."
Tom had no life insurance.,Tom didn't have life insurance.
I know that Tom is irresponsible.,I know Tom is irresponsible.
Men were men back then.,Men were men in those days.
Don't talk in such a high and mighty way.,Don't be so haughty in your speaking.
I assume that Tom will swim.,I assume Tom will swim.
I want to buy a gift for Tom.,I want to buy Tom a present.
Omit needless words!,Remove unnecessary words!
Tom hasn't yet been found.,Tom has yet to be found.
It's not possible to please everyone.,It isn't possible to please everybody.
Do you carry a weapon?,Do you carry weapons?
Tom might get injured.,Tom may get injured.
My father has recently come back to Japan.,My father has recently returned to Japan.
Don't leave your things behind.,Don't leave your stuff behind.
We have wanted to visit the city for a long time.,It has been a long time since we visited that city.
Go find somebody who can help.,Bring help.
"Frankly speaking, I don't like your haircut.","Actually, I don't like the way your hair is done."
I have a half brother.,I have a stepbrother.
Mother has just gone out shopping.,Mum's just gone shopping.
I thought that they'd find someone else.,I thought they'd find somebody else.
That black one is mine.,The black pawns belong to me.
They got their notebooks out.,They got out their notebooks.
The police are interviewing witnesses.,The police are questioning witnesses.
Tom has no interest in art whatsoever.,Tom doesn't have any interest in art whatsoever.
Why did you buy another car?,Why did he buy another car?
Romulus raped virgins of the neighbouring peoples.,Romulus abducted virgins of the surrounding nations.
Isn't that better?,Isn't it better like this?
They swore that they'd do that.,They swore they'd do that.
"You can't speak English, can you?","You don't speak English, do you?"
It is too small a hat for you.,This hat's too small for you.
Haven't you been watching the news?,Don't you watch the news?
The Shinano is longer than any other river in Japan.,The Shinano River is the longest river in Japan.
Please be careful not to break this vase.,Please be careful that you don't break this vase.
I skipped my breakfast.,I skipped breakfast.
I'm expecting a call.,I'm waiting for a phone call.
We are keeping a big dog.,We have a big dog.
I had scarcely entered the class before the students started asking questions.,"As soon as I entered the class, the students started asking questions."
"She turned her head away, lest he should see her tears.",She turned her face away so he wouldn't see her tears.
Those cities have uniform traffic laws.,These cities have similar traffic rules.
Tom's in a slump lately.,Tom has not been doing very well at work recently.
I would like to go to the beach with you but today I don't have time.,"I would gladly go to the beach with you, but I don't have the time today."
"You plan to stay, don't you?","You plan to on staying, don't you?"
This is by far the best seafood restaurant in this area.,This is the best seafood restaurant in the neighborhood.
