anchor,positive,negative
whatever works for you . i occupy my time hunting with my 2 dogs .,i have 2 dogs .,whatever works for you . i occupy my time hunting with my 3 dogs .
"i would probably be a famous tennis player , like my mom . if i could .",my mom is a professional tennis player .,mo mother worked as a nurse .
i like mornings because i like my coffee .,i prefer morning to night .,i am not a morning person .
i am fine thank you i like traveling and making friends .,traveling and making friends is something i find delightful .,i never go traveling with anyone .
i like to sleep in .,i love to sleep in .,i never sleep in .
i love to cook but in the summer its all about that barbeque .,i love the summer .,i am always happy when the summer ends .
"so far , 3 dogs . . and they have 2 pet cats , i am not crazy i am a vet . . you ?",i have 3 dogs and 2 cats .,"so far , 5 dogs . . and they have 2 pet cats , i am not crazy i am a vet . . you ?"
nothing better than bacon for breakfast .,i eat eggs and bacon for breakfast .,i eat a strictly vegan diet .
people in school said i was quiet .,i do not talk a lot .,i am very active .
2 kids sons and they can be handful and raising them myself .,i have two sons that i am raising by myself .,9 kids sons and they can be handful and raising them myself .
i guess i would have to say that i became an engineer and i enjoy that .,i am an engineer .,i am a roofer .
"video games have music , which is something that is not ok for me .",i don t like music .,music has always been my number one passion .
"i do 1 is fishing with my grandkids , i have 5 .",i like to go fishing on the lake .,i hate the taste of fish .
"congratulations , i like cooking a lot , i keep trying even though i failed so young .",since young i ve loved to cook .,i really do not enjoy preparing food for myself .
well at least you do not have 6 toes on your foot like me !,i have 6 toes on one foot .,well at least you do not have nine toes on your foot like me !
i am happy on my own . as long as i have pizza lol .,pizza is my favorite food .,eating snacks in the park is one of my favorite things .
give me a dr pepper and a cozy corner and a racy romance and i am in heaven !,my favorite drink is dr pepper .,my favorite drink is pepsi .
my dad is a doctor so i sometimes work as a receptionist at his office .,i am a receptionist at a doctors office .,my career is that of a physical performer .
i still live at home so i do not have the money for any vacations .,i still live at home with my parents .,i have tons of money .
my 2 nephews are into the metal scene .,i have two nephews .,my 9 nephews are into the metal scene .
i enjoy eating toasted apple skin . just buy a new swimsuit .,my favorite fruit is apple .,my favorite food is steak cooked well done .
i m a graduate student studying law .,i m in my last year of grad school .,i just graduated finally done .
i do always cook her breakfast each sunday .,i like to cook breakfast on sundays .,i never cook .
greetings from mother russia comrade ! ! !,i am from russia .,"i live in portland , maine ."
"i do not have any pets , but i do love to take pictures .",i like to take pictures .,i spoil my pet .
oh okay . i will hurry . i work for a non profit organization that helps children in need .,i work at a non profit that helps children .,i work in a bank .
"hi ! i am just going to work , should be a busy day at the grocery store .",i work at the grocery store .,in the evenings i watch the door at a club where they play punkrock .
"i bet you do . from the rinds of the fruit i eat , i produce natural soap .",i love fruit more than anything .,some fruit does not agree with me but it is not that bad .
you should think about teaching cats also .,i love cats .,i hate cats .
i have 2 beagles named chance and boomer .,i adopted all my dogs .,i have 8 beagles named chance and boomer .
i am getting married in six months .,"i got engaged to be married in paris , france .",i have been married for five years .
"maybe you should come hunting , we do not talk much whilst we go . just enjoy meat afterward .",i am a meat eater .,meat is disgusting .
"oh that is amazing i love reading , mysteries are my favorite .",i like reading more than anything .,i do not like reading scientific information .
i have to work i recently proposed to my gf . we have been together 3 years .,i recently proposed to my girlfriend of three years .,i am married with 2 kids .
i love to swim .,one of my favorite memories is swimming with some ocean creatures .,i am afraid of drowning .
"ink , singing is best in the shower , i really like it !",i sing in the shower .,i can t sing very well .
that is cool . do you eat meat ? i like it too much . lol .,i like meat too much .,when i was a child i began avoiding meat .
nice . i want to go swimming today .,i like to swim .,i am afraid of drowning .
"sorry , lets stick to likes , pizza is my favorite food .",i love pizza .,i can t stand pizza .
yeah there are things to paint here in austria .,"i live in vienna , austria now .","i live near grand rapids , michigan ."
i live in the usa .,i moved to america when i was 14 .,i used to live in upstate new york .
that is nice . i tend to like people more than they like me .,people don t like me too much but i like them anyways .,i have a hard time feeling connected with people .
