anchor,positive
"aw that is nice . i am not in a relationship right now , in college i just focused on swimming .",i could have swam in the olympics .
yes . i start my junior year of college in the fall too .,i will graduate from college in two years .
yeah that makes sense lol . i also like training dogs .,i like to train dogs .
"that is a good friend , you should cook for them . i truly enjoy cooking .",i like to cook .
i just graduated high school .,i graduated college for secondary english education .
i am too that is cool i like fall but summer is better .,i love fall and winter .
you sell people things that they need to feel better . strong stuff .,"when it is warm out , i like to build things ."
twice a year i run marathons .,"i run marathons twice a year , mostly in america ."
i save lives .,i work many hours .
"you are my favorite grandchild , but i do not have many family members i like .",i do not have a lot of family members that i like .
"yes , smart , but that does not get you everything . looks matter tremendously .",i am smart .
pretty good . just finished up an art project i have been working on .,i enjoy making things artistically .
oh so no winter . too bad . my van gets me throught he cold times .,i drive a van .
man i wish i could try those ! seriously anything yellow is my favorite .,my favorite color is yellow .
hey you want to take me out to gather pumpkins in it . i love pumpkins .,i enjoy eating pumpkins .
"maybe ! ! i am a blonde , so it would not surprise me if the answer was obvious .",i have blonde hair .
i hate salads because it makes me feel like a cow eating grass .,i cannot stand salads .
nice ! being 30 i do not want to wait too long to settle down .,i am a 30 year old male .
"i am tired , i do not like cold and winter .",i hate winter and the cold .
i am a writer .,my job entails writing .
i do not think you are a nice person . you cannot travel with me .,i like to travel .
i am more of a rap guy .,i listen to rap .
"i am doing well just sitting here with my cat , charlie !",i have a cat named charlie .
"i cannot do anything with my dog , he steals my pizza .",my favorite food is pizza .
i am a little crazy .,"sometimes , people worry i am crazy ."
i like to eat meat .,i love meat hoagies .
i do not like tomatoes that much and especially airplane tomatoes . what do you think ?,i do not like anything made from a tomato .
my sister is a guitarist .,my older sister plays clarinet .
i ve had the same job for 8 years .,"i make over 200 , 000 per year ."
"that is great i mean blue is a great color , my favorite is green .",my wife does not like me anymore .
"cosplay , its what i do , professionally like .",i love dressing up as characters .
what ? ? i like surfing anytime i get a chance .,i like to surf every chance i get .
i like meat and vegetables .,i like meat too much .
i have never heard music . have been deaf since birth .,i was born completely deaf .
forever l . o . l . i need to drink soda all the time .,i need a soda with me at all times .
i enjoy organizing my surroundings .,i am ordered .
not much . too expensive . i have a lot of friends . we play soccer a lot .,i like spending time with friends playing sports and going to country concerts .
"yes me too , i am still in high school .",i am in high school apart of the school band .
just acting and looking good . i love to dress up for other people .,i like to dress up for other people .
i love eating an egg .,i eat 6 eggs every morning for breakfast .
"the pandas used to be afraid of me , because of my 3 toes .",my favorite animal is the panda .
"cats are nice but i prefer iguanas , they make nice pets .",i have a few pet iguanas .
awesome . . . i just relocated to florida .,i recently moved to florida .
"lucky ! i have been married a while , but married young . three kids too .",i got married when i was young .
i am also a lifestyle blogger . what about you ?,i am a lifestyle blogger .
lately i have been learning how to garden .,i have an amazing garden .
"i think magic mike is a movie i like a lot , uh , because of the music .",magic mike is my favorite movie .
yea . the piano . before i graduated college .,i graduated college a few years ago .
my mother came over from saudi arabia . three generations of women here in this house !,my mother is an immigrant from saudi arabia .
yes . i am currently looking for classes that are nearby . krav maga classes .,i m looking for krav maga classes near my home .
"i like to hike , as i am shy and do not like to hang out with others .",i am very shy .
"i am great , just got off working at the factory .",i work at a factory .
country music kills my brain cells lol . it makes me cringe .,country music makes me cringe .
pizza is the best italian . security is pretty cool . i am interested in it .,pizza is my favorite .
"nice , i am not a big fan but go because my girlfriend love it .",i love my girlfriend .
